with,Kissat-sat,Kissat,Relaxed_newTech,CMS-ccnr-lsids,CMS-ccnr,Relaxed,CaDiCaL-alluip-trail,CaDiCaL-alluip,CMS-walksat,CaDiCaL-trail,Kissat-unsat,CaDiCaL-sc2020,f2trc-DL,Undominated,PADC_DL,DurianSat,f2trc,f2trc-s,MapleCBT-DL-v3,PADC_DL_OVAU_Lin,Maple_Simp,PSIDS_DL,SLIME,Scavel,Maple_Mix,PADC_DL_OVAU_Exp,Scavel01,exp_V_MLD_CBT_DL,MapleCOMSPS_drup,MapleCOMSPS_init
Kissat-sat,1.0,0.8733181620578195,0.8203147004654778,0.8204732347443386,0.833366406887598,0.7986023811043703,0.7956421606532215,0.795622273908832,0.808150862673136,0.831522704760383,0.7987755258253196,0.7960288141978513,0.7309369595332309,0.7409449986866454,0.7247267863405601,0.7172868837845288,0.7364172002582721,0.718101022819538,0.7410381182519021,0.7245785769848132,0.7085442591379623,0.732479426736405,0.7305414611341804,0.7289284032069967,0.7240405537873132,0.7124743132724397,0.697921980268642,0.7154886218948765,0.72020016044456,0.7209194910569967
Kissat,0.8733181620578195,1.0,0.7713722958057596,0.7721698857325949,0.7726666236430696,0.7502483963180693,0.8322467397066677,0.832168135875,0.7608545865436709,0.8424019493722469,0.8338948625009177,0.782800101491804,0.703385213754462,0.7170296819478195,0.7162820371224874,0.6991922391923417,0.7157721111414652,0.713672317759231,0.7214127430838924,0.6980630671338289,0.7149300066110602,0.7306550141006107,0.7179456502636394,0.7093294420040508,0.720605652425633,0.6912599875980383,0.6785866206569621,0.7202869092706012,0.698059608231614,0.700450277889557
Relaxed_newTech,0.8203147004654778,0.7713722958057596,1.0,0.8904272620103798,0.868018016469652,0.906863690757943,0.7978497354325539,0.7976679303844939,0.841973895341709,0.8085408795880062,0.6988079507445883,0.7626788322335125,0.779901337780348,0.7841948097345285,0.789145261938943,0.7577174181809494,0.7974973832312754,0.7921697782345474,0.8042248433971202,0.803975608141424,0.7864308488401741,0.7932253562942817,0.7649685160844619,0.779228874493924,0.7798276187667724,0.7914640555981013,0.7494102125829115,0.7609173074756646,0.7743514153721837,0.7714276308243673
CMS-ccnr-lsids,0.8204732347443386,0.7721698857325949,0.8904272620103798,1.0,0.920393474208576,0.8640015829024367,0.7908212664417309,0.7909541105708228,0.8901181790338608,0.8072689297585759,0.7288919837405377,0.776388012783829,0.7781672920211706,0.788924777596174,0.7750119609486897,0.7716590077806962,0.7992743583220981,0.784733419841193,0.7992617133600949,0.7840434197828163,0.7747887557866934,0.7911477351420031,0.7516742632543987,0.7826134265353796,0.7787836240442405,0.7826593186337975,0.7540281089717722,0.7601796928721835,0.7608842029736395,0.7589254367195569
CMS-ccnr,0.833366406887598,0.7726666236430696,0.868018016469652,0.920393474208576,1.0,0.8381253941971518,0.7757746371825853,0.775904791571234,0.9200707541176266,0.8014613515260761,0.738577239595253,0.7790947103284811,0.775518924528481,0.7893913860136741,0.7655717171991012,0.7668861372741455,0.7863968133078892,0.7668466363168576,0.7857113684522783,0.7873725669281645,0.7735591547262817,0.7700646536088069,0.7544964083838609,0.7583812484097785,0.7753952310529428,0.7737712445715507,0.7325663634026266,0.7401922279795571,0.7504667089634177,0.7604314437578797
Relaxed,0.7986023811043703,0.7502483963180693,0.906863690757943,0.8640015829024367,0.8381253941971518,1.0,0.7724179654796738,0.7722321108113608,0.8425407628160443,0.7806072302901899,0.6975565428075317,0.7485668369641771,0.7668758962040505,0.7856017886645602,0.7795183538626456,0.7457813779337656,0.7982711303891551,0.7757210087152119,0.8096459611246203,0.7789399532739872,0.7817740239094463,0.7794402375027942,0.758135045204367,0.8037959257024367,0.7814294005892088,0.7978299131293985,0.7760190402471203,0.7891554115955697,0.7800758533528482,0.7736133391847784
CaDiCaL-alluip-trail,0.7956421606532215,0.8322467397066677,0.7978497354325539,0.7908212664417309,0.7757746371825853,0.7724179654796738,1.0,0.9992604165930601,0.7547248628509715,0.8784525149009398,0.7669304070696107,0.798233349862965,0.7221348829015728,0.7150844033018926,0.7171961565930982,0.7045662748788195,0.7286812827588481,0.7233483899019111,0.7174187370398641,0.7229697516494207,0.717478205938614,0.7388916860977406,0.7344696548348006,0.7277911005120474,0.7174011006019207,0.7215720482010348,0.704638637690845,0.7392519766411927,0.7074091143788515,0.7136545540829335
CaDiCaL-alluip,0.795622273908832,0.832168135875,0.7976679303844939,0.7909541105708228,0.775904791571234,0.7722321108113608,0.9992604165930601,1.0,0.7548755865446203,0.878294436541424,0.7669912867747153,0.7982694128187025,0.7220813326541456,0.7151012394936423,0.7171767894652088,0.7046986787287974,0.7286374529905159,0.7233579480684083,0.7174035958633227,0.7228849164892088,0.7174932026480854,0.738880435823079,0.7344741857063606,0.7277026123828481,0.7174626204493671,0.7215715962382911,0.7045589250446203,0.7391654075164873,0.7073755605990191,0.7136151252949368
CMS-walksat,0.808150862673136,0.7608545865436709,0.841973895341709,0.8901181790338608,0.9200707541176266,0.8425407628160443,0.7547248628509715,0.7548755865446203,1.0,0.7863066706139556,0.7286705699838291,0.7702343644202847,0.7723842541056645,0.7927272473452245,0.7752767390352089,0.7757228918335445,0.797985539162984,0.769886126413598,0.8037587808300315,0.7834308902832594,0.7718351966503005,0.7780524849652307,0.7592699065249681,0.7812815962585442,0.8014098519952533,0.7884065665734807,0.7683782318227846,0.7632016142478164,0.758567398253829,0.7703845353294935
CaDiCaL-trail,0.831522704760383,0.8424019493722469,0.8085408795880062,0.8072689297585759,0.8014613515260761,0.7806072302901899,0.8784525149009398,0.878294436541424,0.7863066706139556,1.0,0.7849414212579747,0.8075078780506961,0.7513180878639241,0.7382911302236741,0.7447627871813166,0.7215910917235127,0.7595172277192818,0.7512400272059714,0.7588622293452532,0.7485360611167088,0.7326995782666615,0.7530248965645034,0.7563601192591775,0.7427267182799052,0.7457473117895885,0.7525555519606645,0.7130949568803482,0.7562756212287343,0.758287876098038,0.7632068123154747
Kissat-unsat,0.7987755258253196,0.8338948625009177,0.6988079507445883,0.7288919837405377,0.738577239595253,0.6975565428075317,0.7669304070696107,0.7669912867747153,0.7286705699838291,0.7849414212579747,1.0,0.716228336323734,0.6785375650977847,0.7012652950031676,0.713517675267772,0.6985344270990823,0.6959903173961802,0.6868561867905915,0.7105454869917721,0.6991849049082279,0.6966822976234337,0.7123649793426676,0.7020635671424049,0.6938601832442721,0.7099047311133229,0.7114782646275633,0.6701593039395884,0.6795177323209496,0.6604234969016455,0.6689712779772469
CaDiCaL-sc2020,0.7960288141978513,0.782800101491804,0.7626788322335125,0.776388012783829,0.7790947103284811,0.7485668369641771,0.798233349862965,0.7982694128187025,0.7702343644202847,0.8075078780506961,0.716228336323734,1.0,0.795045955170886,0.7910506961604462,0.7543750731016328,0.7723331379272466,0.7816679140832057,0.7697960992857815,0.7840168786958861,0.7838817788433544,0.7856314802845096,0.7863180024853893,0.7977073920300632,0.7275190015907913,0.8013909568781961,0.7661983485532595,0.7326692807645885,0.728081788506076,0.7693049780576583,0.7795315237478164
f2trc-DL,0.7309369595332309,0.703385213754462,0.779901337780348,0.7781672920211706,0.775518924528481,0.7668758962040505,0.7221348829015728,0.7220813326541456,0.7723842541056645,0.7513180878639241,0.6785375650977847,0.795045955170886,1.0,0.8997316043079145,0.8955121295573292,0.8811221811880062,0.9012223699699146,0.8821368767510348,0.8861233387205697,0.9040783296015823,0.8795497631294462,0.8771218214411487,0.8785612543332278,0.8359087033496517,0.8920212028838923,0.8940166051095887,0.8545596205816772,0.821888204298481,0.859463090595,0.8783832815946518
Undominated,0.7409449986866454,0.7170296819478195,0.7841948097345285,0.788924777596174,0.7893913860136741,0.7856017886645602,0.7150844033018926,0.7151012394936423,0.7927272473452245,0.7382911302236741,0.7012652950031676,0.7910506961604462,0.8997316043079145,1.0,0.9138486190341677,0.8830776777369969,0.89092859760631,0.881770305356943,0.8979289031784842,0.9056786267613323,0.9141895588993544,0.8940148096097595,0.8856724566462056,0.8432097353809841,0.911645707881617,0.91527532129706,0.8609818492781361,0.8332584680448767,0.8757459417167119,0.8885686597879461
PADC_DL,0.7247267863405601,0.7162820371224874,0.789145261938943,0.7750119609486897,0.7655717171991012,0.7795183538626456,0.7171961565930982,0.7171767894652088,0.7752767390352089,0.7447627871813166,0.713517675267772,0.7543750731016328,0.8955121295573292,0.9138486190341677,1.0,0.8633390571199557,0.8904728793158134,0.8782391787430475,0.9160597309146076,0.9003168082633417,0.8933740900544336,0.8883592867325538,0.8759617638253672,0.8500500097981203,0.9053601806209052,0.9091436486598291,0.871934260332614,0.8393985536063798,0.8783120794693545,0.8807468060310316
DurianSat,0.7172868837845288,0.6991922391923417,0.7577174181809494,0.7716590077806962,0.7668861372741455,0.7457813779337656,0.7045662748788195,0.7046986787287974,0.7757228918335445,0.7215910917235127,0.6985344270990823,0.7723331379272466,0.8811221811880062,0.8830776777369969,0.8633390571199557,1.0,0.8566105195091867,0.8533673057757498,0.8577886280047786,0.8678260376768671,0.8724046522237817,0.8718386402233955,0.8472116861750316,0.8342059744136076,0.8742351080654429,0.8704374163170254,0.8540578237126583,0.8201651695680063,0.8344829460784493,0.8392074947825949
f2trc,0.7364172002582721,0.7157721111414652,0.7974973832312754,0.7992743583220981,0.7863968133078892,0.7982711303891551,0.7286812827588481,0.7286374529905159,0.797985539162984,0.7595172277192818,0.6959903173961802,0.7816679140832057,0.9012223699699146,0.89092859760631,0.8904728793158134,0.8566105195091867,1.0,0.9073918847803798,0.9104941602841551,0.8876871430962436,0.8966883229386012,0.8872289060743987,0.874177826127826,0.8589528412734272,0.9015922695936804,0.8884055821870981,0.8604634071243766,0.8586891702525725,0.8681627596275727,0.8793124150620348
f2trc-s,0.718101022819538,0.713672317759231,0.7921697782345474,0.784733419841193,0.7668466363168576,0.7757210087152119,0.7233483899019111,0.7233579480684083,0.769886126413598,0.7512400272059714,0.6868561867905915,0.7697960992857815,0.8821368767510348,0.881770305356943,0.8782391787430475,0.8533673057757498,0.9073918847803798,1.0,0.8754579362418576,0.8896832052335031,0.8785162973557025,0.8806941321521836,0.8799071131905917,0.8458395033772057,0.8720001099158766,0.876563692916826,0.8624914288066993,0.843534093186731,0.8579390309560349,0.8757589799385982
MapleCBT-DL-v3,0.7410381182519021,0.7214127430838924,0.8042248433971202,0.7992617133600949,0.7857113684522783,0.8096459611246203,0.7174187370398641,0.7174035958633227,0.8037587808300315,0.7588622293452532,0.7105454869917721,0.7840168786958861,0.8861233387205697,0.8979289031784842,0.9160597309146076,0.8577886280047786,0.9104941602841551,0.8754579362418576,1.0,0.879355452628481,0.9033808195835602,0.8846086605996297,0.8722803723626582,0.861137865374652,0.9130604942399051,0.9050590621819937,0.852164964173133,0.8525306542317088,0.8779548651396202,0.8890414722373735
PADC_DL_OVAU_Lin,0.7245785769848132,0.6980630671338289,0.803975608141424,0.7840434197828163,0.7873725669281645,0.7789399532739872,0.7229697516494207,0.7228849164892088,0.7834308902832594,0.7485360611167088,0.6991849049082279,0.7838817788433544,0.9040783296015823,0.9056786267613323,0.9003168082633417,0.8678260376768671,0.8876871430962436,0.8896832052335031,0.879355452628481,1.0,0.8989317277094463,0.8909282551946298,0.8771179294220885,0.8421990069752848,0.9001132888771836,0.9147081711952215,0.8618113616680062,0.8218900219037973,0.8673582301768988,0.8775901560132595
Maple_Simp,0.7085442591379623,0.7149300066110602,0.7864308488401741,0.7747887557866934,0.7735591547262817,0.7817740239094463,0.717478205938614,0.7174932026480854,0.7718351966503005,0.7326995782666615,0.6966822976234337,0.7856314802845096,0.8795497631294462,0.9141895588993544,0.8933740900544336,0.8724046522237817,0.8966883229386012,0.8785162973557025,0.9033808195835602,0.8989317277094463,1.0,0.8861991001002785,0.8650107558107752,0.8366917203746678,0.9154373293499842,0.9038324143433386,0.8437835809724524,0.8309904454341297,0.8867662187952057,0.8865711705778323
PSIDS_DL,0.732479426736405,0.7306550141006107,0.7932253562942817,0.7911477351420031,0.7700646536088069,0.7794402375027942,0.7388916860977406,0.738880435823079,0.7780524849652307,0.7530248965645034,0.7123649793426676,0.7863180024853893,0.8771218214411487,0.8940148096097595,0.8883592867325538,0.8718386402233955,0.8872289060743987,0.8806941321521836,0.8846086605996297,0.8909282551946298,0.8861991001002785,1.0,0.8718660459749462,0.8318834741623196,0.8993840869009272,0.8968260324639651,0.8521526081018765,0.8271823295129842,0.8694387169538069,0.886971811059155
SLIME,0.7305414611341804,0.7179456502636394,0.7649685160844619,0.7516742632543987,0.7544964083838609,0.758135045204367,0.7344696548348006,0.7344741857063606,0.7592699065249681,0.7563601192591775,0.7020635671424049,0.7977073920300632,0.8785612543332278,0.8856724566462056,0.8759617638253672,0.8472116861750316,0.874177826127826,0.8799071131905917,0.8722803723626582,0.8771179294220885,0.8650107558107752,0.8718660459749462,1.0,0.8265714944562975,0.8693092303215506,0.8710711990433229,0.842937824944652,0.8257987423133544,0.856500861426962,0.8640147596132595
Scavel,0.7289284032069967,0.7093294420040508,0.779228874493924,0.7826134265353796,0.7583812484097785,0.8037959257024367,0.7277911005120474,0.7277026123828481,0.7812815962585442,0.7427267182799052,0.6938601832442721,0.7275190015907913,0.8359087033496517,0.8432097353809841,0.8500500097981203,0.8342059744136076,0.8589528412734272,0.8458395033772057,0.861137865374652,0.8421990069752848,0.8366917203746678,0.8318834741623196,0.8265714944562975,1.0,0.8325133844708228,0.8491426133388607,0.9051861959869621,0.9645726159423101,0.8144675684223733,0.8218747033208862
Maple_Mix,0.7240405537873132,0.720605652425633,0.7798276187667724,0.7787836240442405,0.7753952310529428,0.7814294005892088,0.7174011006019207,0.7174626204493671,0.8014098519952533,0.7457473117895885,0.7099047311133229,0.8013909568781961,0.8920212028838923,0.911645707881617,0.9053601806209052,0.8742351080654429,0.9015922695936804,0.8720001099158766,0.9130604942399051,0.9001132888771836,0.9154373293499842,0.8993840869009272,0.8693092303215506,0.8325133844708228,1.0,0.8955067972148101,0.8544450980332279,0.8286388690538292,0.8753398604091457,0.886338898707595
PADC_DL_OVAU_Exp,0.7124743132724397,0.6912599875980383,0.7914640555981013,0.7826593186337975,0.7737712445715507,0.7978299131293985,0.7215720482010348,0.7215715962382911,0.7884065665734807,0.7525555519606645,0.7114782646275633,0.7661983485532595,0.8940166051095887,0.91527532129706,0.9091436486598291,0.8704374163170254,0.8884055821870981,0.876563692916826,0.9050590621819937,0.9147081711952215,0.9038324143433386,0.8968260324639651,0.8710711990433229,0.8491426133388607,0.8955067972148101,1.0,0.8596144295360126,0.8399954928268671,0.8695075327930063,0.8963829259782278
Scavel01,0.697921980268642,0.6785866206569621,0.7494102125829115,0.7540281089717722,0.7325663634026266,0.7760190402471203,0.704638637690845,0.7045589250446203,0.7683782318227846,0.7130949568803482,0.6701593039395884,0.7326692807645885,0.8545596205816772,0.8609818492781361,0.871934260332614,0.8540578237126583,0.8604634071243766,0.8624914288066993,0.852164964173133,0.8618113616680062,0.8437835809724524,0.8521526081018765,0.842937824944652,0.9051861959869621,0.8544450980332279,0.8596144295360126,1.0,0.8884479875522469,0.8431046967133229,0.8417284355313291
exp_V_MLD_CBT_DL,0.7154886218948765,0.7202869092706012,0.7609173074756646,0.7601796928721835,0.7401922279795571,0.7891554115955697,0.7392519766411927,0.7391654075164873,0.7632016142478164,0.7562756212287343,0.6795177323209496,0.728081788506076,0.821888204298481,0.8332584680448767,0.8393985536063798,0.8201651695680063,0.8586891702525725,0.843534093186731,0.8525306542317088,0.8218900219037973,0.8309904454341297,0.8271823295129842,0.8257987423133544,0.9645726159423101,0.8286388690538292,0.8399954928268671,0.8884479875522469,1.0,0.8228133623724685,0.8379888477664873
MapleCOMSPS_drup,0.72020016044456,0.698059608231614,0.7743514153721837,0.7608842029736395,0.7504667089634177,0.7800758533528482,0.7074091143788515,0.7073755605990191,0.758567398253829,0.758287876098038,0.6604234969016455,0.7693049780576583,0.859463090595,0.8757459417167119,0.8783120794693545,0.8344829460784493,0.8681627596275727,0.8579390309560349,0.8779548651396202,0.8673582301768988,0.8867662187952057,0.8694387169538069,0.856500861426962,0.8144675684223733,0.8753398604091457,0.8695075327930063,0.8431046967133229,0.8228133623724685,1.0,0.9160785140908545
MapleCOMSPS_init,0.7209194910569967,0.700450277889557,0.7714276308243673,0.7589254367195569,0.7604314437578797,0.7736133391847784,0.7136545540829335,0.7136151252949368,0.7703845353294935,0.7632068123154747,0.6689712779772469,0.7795315237478164,0.8783832815946518,0.8885686597879461,0.8807468060310316,0.8392074947825949,0.8793124150620348,0.8757589799385982,0.8890414722373735,0.8775901560132595,0.8865711705778323,0.886971811059155,0.8640147596132595,0.8218747033208862,0.886338898707595,0.8963829259782278,0.8417284355313291,0.8379888477664873,0.9160785140908545,1.0
